compare,timestampA,timestampB,hungarian
0,2017-09-26_11-30-56,2018-02-09_09-07-43,0.9766215253029231
1,2018-02-09_09-07-43,2018-02-09_09-07-44,0.9739913419913414
2,2018-02-09_09-07-44,2018-02-09_09-07-45,0.9185108225108218
3,2018-02-09_09-07-45,2018-02-09_09-07-46,0.9797711332595053
4,2018-02-09_09-07-46,2018-02-09_09-07-48,0.9754468095481926
5,2018-02-09_09-07-48,2018-02-09_09-07-49,0.9688186813186807
6,2018-02-09_09-07-49,2018-02-09_09-07-50,0.9863418818854967
7,2018-02-09_09-07-50,2018-02-09_09-07-51,0.9828699050809611
8,2018-02-09_09-07-51,2018-02-09_09-07-52,0.9691506410256424
9,2018-02-09_09-07-52,2018-02-09_09-07-53,0.9942499790145225
10,2018-02-09_09-07-53,2018-02-19_10-18-21,0.9731974564510447
11,2018-02-19_10-18-21,2018-03-21_10-31-39,0.9748906983273835
12,2018-03-21_10-31-39,2018-04-20_15-56-20,0.9989972323613173
13,2018-04-20_15-56-20,2018-05-09_16-02-56,0.9745762711864401
14,2018-05-09_16-02-56,2018-08-20_14-36-18,0.9626452296678468
15,2018-08-20_14-36-18,2018-11-01_09-46-44,0.9728799755675448
16,2018-11-01_09-46-44,2018-11-19_10-41-18,0.9727050653099948
17,2018-11-19_10-41-18,2018-12-03_11-39-23,0.9873008070132318
18,2018-12-03_11-39-23,2018-12-14_09-41-08,0.9926108881341977
19,2018-12-14_09-41-08,2019-01-07_10-47-04,0.9665099998033451
20,2019-01-07_10-47-04,2019-01-11_10-36-57,0.9938933688248641
21,2019-01-11_10-36-57,2019-05-24_11-07-51,0.9944413998277613
22,2019-05-24_11-07-51,2019-11-05_15-47-28,0.9943489428966601
23,2019-11-05_15-47-28,2019-12-17_12-09-20,0.9812776624495717
24,2019-12-17_12-09-20,2020-03-31_11-32-10,0.9755984466469597
25,2020-03-31_11-32-10,2020-04-14_11-39-31,0.9783242465545953
26,2020-04-14_11-39-31,2020-05-19_11-29-13,0.9853944078199578
27,2020-05-19_11-29-13,2020-06-23_13-59-40,0.9846390168970807
28,2020-06-23_13-59-40,2020-10-13_11-46-16,0.9920591456736029
29,2020-10-13_11-46-16,2020-10-13_11-46-17,0.9699185147702877
30,2020-10-13_11-46-17,2020-10-20_12-35-53,0.9955357142857147
31,2020-10-20_12-35-53,2020-12-01_14-09-14,0.9982284580498868
