compare,timestampA,timestampB,hungarian
0,2017-09-26_11-30-56,2018-02-09_09-07-43,0.9605558045719388
1,2018-02-09_09-07-43,2018-02-09_09-07-44,0.9588021233265465
2,2018-02-09_09-07-44,2018-02-09_09-07-45,0.9027921521494786
3,2018-02-09_09-07-45,2018-02-09_09-07-46,0.9574377804977566
4,2018-02-09_09-07-46,2018-02-09_09-07-48,0.9499784733627802
5,2018-02-09_09-07-48,2018-02-09_09-07-49,0.9458430913348932
6,2018-02-09_09-07-49,2018-02-09_09-07-50,0.9551283911214239
7,2018-02-09_09-07-50,2018-02-09_09-07-51,0.958093142647598
8,2018-02-09_09-07-51,2018-02-09_09-07-52,0.9445674154232947
9,2018-02-09_09-07-52,2018-02-09_09-07-53,0.9569328305186657
10,2018-02-09_09-07-53,2018-02-19_10-18-21,0.9582705695558369
11,2018-02-19_10-18-21,2018-03-21_10-31-39,0.9503909339626327
12,2018-03-21_10-31-39,2018-04-20_15-56-20,0.9573538373766579
13,2018-04-20_15-56-20,2018-05-09_16-02-56,0.9506945524283423
14,2018-05-09_16-02-56,2018-08-20_14-36-18,0.9490875693806662
15,2018-08-20_14-36-18,2018-11-01_09-46-44,0.9465764023210824
16,2018-11-01_09-46-44,2018-11-19_10-41-18,0.9482035545326692
17,2018-11-19_10-41-18,2018-12-03_11-39-23,0.9523937773331811
18,2018-12-03_11-39-23,2018-12-14_09-41-08,0.951239531632745
19,2018-12-14_09-41-08,2019-01-07_10-47-04,0.9464162220904951
20,2019-01-07_10-47-04,2019-01-11_10-36-57,0.9486391029440817
21,2019-01-11_10-36-57,2019-05-24_11-07-51,0.951582337276273
22,2019-05-24_11-07-51,2019-11-05_15-47-28,0.9516424121396194
23,2019-11-05_15-47-28,2019-12-17_12-09-20,0.9537237716436034
24,2019-12-17_12-09-20,2020-03-31_11-32-10,0.9521036791351878
25,2020-03-31_11-32-10,2020-04-14_11-39-31,0.9504177129611722
26,2020-04-14_11-39-31,2020-05-19_11-29-13,0.9552341100930652
27,2020-05-19_11-29-13,2020-06-23_13-59-40,0.9484835895305335
28,2020-06-23_13-59-40,2020-10-13_11-46-16,0.957600517010568
29,2020-10-13_11-46-16,2020-10-13_11-46-17,0.9498043696174686
30,2020-10-13_11-46-17,2020-10-20_12-35-53,0.9500175878292266
31,2020-10-20_12-35-53,2020-12-01_14-09-14,0.9578444904531904
