compare,timestampA,timestampB,hungarian
0,2017-09-26_11-30-56,2018-02-09_09-07-43,0.959322907716104
1,2018-02-09_09-07-43,2018-02-09_09-07-44,0.9580171462524395
2,2018-02-09_09-07-44,2018-02-09_09-07-45,0.9017740429505119
3,2018-02-09_09-07-45,2018-02-09_09-07-46,0.9573766457487387
4,2018-02-09_09-07-46,2018-02-09_09-07-48,0.9443495754286663
5,2018-02-09_09-07-48,2018-02-09_09-07-49,0.9517410714285716
6,2018-02-09_09-07-49,2018-02-09_09-07-50,0.9515422287138047
7,2018-02-09_09-07-50,2018-02-09_09-07-51,0.9577885131508315
8,2018-02-09_09-07-51,2018-02-09_09-07-52,0.9567971862022217
9,2018-02-09_09-07-52,2018-02-09_09-07-53,0.9606746334435138
10,2018-02-09_09-07-53,2018-02-19_10-18-21,0.9537490811075705
11,2018-02-19_10-18-21,2018-03-21_10-31-39,0.9525325844029983
12,2018-03-21_10-31-39,2018-04-20_15-56-20,0.9591186883170827
13,2018-04-20_15-56-20,2018-05-09_16-02-56,0.9508318362883694
14,2018-05-09_16-02-56,2018-08-20_14-36-18,0.9409477143246036
15,2018-08-20_14-36-18,2018-11-01_09-46-44,0.9522094926350242
16,2018-11-01_09-46-44,2018-11-19_10-41-18,0.9494482310938006
17,2018-11-19_10-41-18,2018-12-03_11-39-23,0.9531351192228444
18,2018-12-03_11-39-23,2018-12-14_09-41-08,0.9533167639635486
19,2018-12-14_09-41-08,2019-01-07_10-47-04,0.9570473104833344
20,2019-01-07_10-47-04,2019-01-11_10-36-57,0.9619766125990176
21,2019-01-11_10-36-57,2019-05-24_11-07-51,0.9580724254998091
22,2019-05-24_11-07-51,2019-11-05_15-47-28,0.9562259354790463
23,2019-11-05_15-47-28,2019-12-17_12-09-20,0.9456481274663094
24,2019-12-17_12-09-20,2020-03-31_11-32-10,0.9547715171727807
25,2020-03-31_11-32-10,2020-04-14_11-39-31,0.9501432016882725
26,2020-04-14_11-39-31,2020-05-19_11-29-13,0.9536863048524383
27,2020-05-19_11-29-13,2020-06-23_13-59-40,0.9458869962609068
28,2020-06-23_13-59-40,2020-10-13_11-46-16,0.9602721229746579
29,2020-10-13_11-46-16,2020-10-13_11-46-17,0.9553633629551581
30,2020-10-13_11-46-17,2020-10-20_12-35-53,0.9594395280236016
31,2020-10-20_12-35-53,2020-12-01_14-09-14,0.9600228737783352
